trait_list	E_percent_per_10year	E_percent_per_10year_se	G_percent_per_10year	G_percent_per_10year_se	G_p_value	G_bonforonni	sex
bmi	-0.10714744011068	0.0128060163574422	-0.155527599601211	0.0275051091461977	0	0	Female
height	-0.0150752818391113	0.0186668168791978	-0.0480848584323301	0.012523348354334	1.11022302462516e-16	1.77635683940025e-15	Female
body_WHR	0.044525019751479	0.0101965455655518	-0.0317877270153946	0.0369367696185072	1.14008605944793e-06	1.82413769511669e-05	Female
FEV1_FVC	0.233096954938044	0.0145762639186093	-0.0387423748367262	0.0480468943562775	0.00059643794222275	0.00954300707556399	Female
cov_SMOKING_STATUS	-0.0719136941413576	0.0109712635238812	-0.1347567802792	0.0544072795602582	0	0	Female
biochemistry_HbA1c_corrected	0.221360487656413	0.0270086531311698	0.337893913073073	0.0542263874879286	0	0	Female
biochemistry_LDLdirect_corrected	0.12035046284955	0.0118741229649186	-0.192130661581474	0.0280652793663929	0	0	Female
biochemistry_Triglycerides_corrected	0.0778611933293764	0.0134551558767028	0.170245652454466	0.0331071010962073	0	0	Female
biochemistry_Glucose	0.169383653308105	0.0374011559263163	0.0397704824849477	0.118344288241061	0.298969848635181	4.78351757816289	Female
biochemistry_Cholesterol_corrected	0.151151049915839	0.0141477541749086	-0.124465727146658	0.0262225034986696	0	0	Female
blood_RBC_DISTRIB_WIDTH	-0.429405658134235	0.0304279994125053	-0.203846474336676	0.0564364327885716	0	0	Female
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	-0.225285169842171	0.0289649808388187	-0.168978399404279	0.0398844988034235	1.55431223447522e-15	2.48689957516035e-14	Female
blood_EOSINOPHIL_COUNT	-0.112245465855348	0.0271853475371437	-0.0620853840649787	0.0457508283225696	0.0183374661320348	0.293399458112557	Female
Systolic_bp_corrected	0.272797411864324	0.010866814022253	0.105637892619741	0.0307783323762355	0	0	Female
Diastolic_bp_corrected	0.0546547730661573	0.0118889910986765	-0.152667580962099	0.0279299775698948	0	0	Female
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	-0.0287759231743994	0.0294649483411806	-0.0306853806438896	0.0535722328464895	0.319567000873162	5.11307201397059	Female
