trait_list	E_percent_per_10year	E_percent_per_10year_se	G_percent_per_10year	G_percent_per_10year_se	G_p_value	G_bonforonni	sex
bmi	-0.0727625282548939	0.0137531255713684	-0.115249236725752	0.0269996189719903	0	0	Male
height	-0.0202673475681983	0.0188895630001373	-0.0519610371761542	0.0122404511711061	1.4432899320127e-15	2.30926389122033e-14	Male
body_WHR	0.0319910516468983	0.0128114981009694	-0.0405024938052395	0.0302514179865639	3.00309982881331e-07	4.80495972610129e-06	Male
FEV1_FVC	0.237372697523375	0.013860252103976	-0.0395059837189139	0.0425958891634439	9.21000198889077e-05	0.00147360031822252	Male
cov_SMOKING_STATUS	-0.0961146434275435	0.0123359819732105	-0.169047106660054	0.0581374494847676	0	0	Male
biochemistry_HbA1c_corrected	0.192621092812447	0.0224733583527435	0.271485841064824	0.0596700872411962	0	0	Male
biochemistry_LDLdirect_corrected	-0.0215496817856775	0.0143421426542382	-0.34382320989559	0.0271341603582071	0	0	Male
biochemistry_Triglycerides_corrected	-0.219959116357514	0.01571650432227	-0.119920089619899	0.0390112278704688	0	0	Male
biochemistry_Glucose	0.20895601844899	0.0337304816294611	0.070137600974367	0.102099436761547	0.0183018452741267	0.292829524386027	Male
biochemistry_Cholesterol_corrected	-0.00602254624322413	0.0141281434887537	-0.29740890119256	0.0304938197341513	0	0	Male
blood_RBC_DISTRIB_WIDTH	0.203105572873224	0.0275979288965519	0.367716639311082	0.0490676076613732	0	0	Male
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	0.117224635239992	0.0359534436754549	0.0737243931310191	0.0428490731591088	0.0284253182088822	0.454805091342115	Male
blood_EOSINOPHIL_COUNT	0.0264254337954475	0.0220929450787888	0.0639291692082383	0.0395913406267251	0.00338946929482553	0.0542315087172085	Male
Systolic_bp_corrected	0.277662644902756	0.0095088899880627	0.111792349480471	0.0293916271544847	0	0	Male
Diastolic_bp_corrected	0.0491845231223508	0.0107789327012937	-0.151990496722559	0.0315323405094806	0	0	Male
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	-0.0668915175178391	0.0294495225711553	0.00546755806264392	0.0401820744109767	0.824903639798091	13.1984582367695	Male
