quant_name	age_idx1	h2g_mean	h2g_se
bmi	1	0.308579	0.012303
bmi	2	0.316019	0.012352
bmi	3	0.302571	0.01236
bmi	4	0.284472	0.012308
bmi	5	0.298582	0.012344
height	1	0.60437	0.011444
height	2	0.638606	0.011273
height	3	0.613052	0.011492
height	4	0.625306	0.011369
height	5	0.582156	0.01153
body_WHR	1	0.240833	0.012243
body_WHR	2	0.227596	0.012222
body_WHR	3	0.216907	0.012156
body_WHR	4	0.208811	0.012118
body_WHR	5	0.217055	0.012172
FEV1_FVC	1	0.234922	0.012801
FEV1_FVC	2	0.229701	0.013008
FEV1_FVC	3	0.169193	0.013175
FEV1_FVC	4	0.163065	0.01334
FEV1_FVC	5	0.149954	0.013364
cov_SMOKING_STATUS	1	0.136383	0.011779
cov_SMOKING_STATUS	2	0.114996	0.011606
cov_SMOKING_STATUS	3	0.123141	0.011713
cov_SMOKING_STATUS	4	0.121557	0.01165
cov_SMOKING_STATUS	5	0.113403	0.011618
biochemistry_HbA1c_corrected	1	0.125106	0.012288
biochemistry_HbA1c_corrected	2	0.128422	0.012371
biochemistry_HbA1c_corrected	3	0.144186	0.012547
biochemistry_HbA1c_corrected	4	0.161202	0.012511
biochemistry_HbA1c_corrected	5	0.1454	0.01255
biochemistry_LDLdirect_corrected	1	0.346818	0.012846
biochemistry_LDLdirect_corrected	2	0.312008	0.012919
biochemistry_LDLdirect_corrected	3	0.301423	0.012937
biochemistry_LDLdirect_corrected	4	0.249724	0.012883
biochemistry_LDLdirect_corrected	5	0.218943	0.01293
biochemistry_Triglycerides_corrected	1	0.222512	0.012637
biochemistry_Triglycerides_corrected	2	0.244474	0.012709
biochemistry_Triglycerides_corrected	3	0.242143	0.012724
biochemistry_Triglycerides_corrected	4	0.249421	0.012876
biochemistry_Triglycerides_corrected	5	0.263606	0.012745
biochemistry_Glucose	1	0.070136	0.013036
biochemistry_Glucose	2	0.06483	0.013132
biochemistry_Glucose	3	0.07189	0.013137
biochemistry_Glucose	4	0.064092	0.013125
biochemistry_Glucose	5	0.050566	0.013097
biochemistry_Cholesterol_corrected	1	0.334896	0.01277
biochemistry_Cholesterol_corrected	2	0.307203	0.012829
biochemistry_Cholesterol_corrected	3	0.288397	0.012851
biochemistry_Cholesterol_corrected	4	0.249625	0.01281
biochemistry_Cholesterol_corrected	5	0.217215	0.012858
blood_RBC_DISTRIB_WIDTH	1	0.154741	0.012292
blood_RBC_DISTRIB_WIDTH	2	0.151204	0.012237
blood_RBC_DISTRIB_WIDTH	3	0.188117	0.012389
blood_RBC_DISTRIB_WIDTH	4	0.211783	0.012513
blood_RBC_DISTRIB_WIDTH	5	0.179488	0.012344
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	1	0.282328	0.012465
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	2	0.286131	0.012313
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	3	0.329647	0.012595
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	4	0.274539	0.012542
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	5	0.266206	0.012562
blood_EOSINOPHIL_COUNT	1	0.199795	0.012389
blood_EOSINOPHIL_COUNT	2	0.193269	0.012386
blood_EOSINOPHIL_COUNT	3	0.171141	0.012387
blood_EOSINOPHIL_COUNT	4	0.209712	0.012518
blood_EOSINOPHIL_COUNT	5	0.21158	0.012466
Systolic_bp_corrected	1	0.275444	0.012314
Systolic_bp_corrected	2	0.2502	0.012209
Systolic_bp_corrected	3	0.226009	0.012184
Systolic_bp_corrected	4	0.226535	0.012239
Systolic_bp_corrected	5	0.209693	0.012153
Diastolic_bp_corrected	1	0.274273	0.012302
Diastolic_bp_corrected	2	0.264586	0.012208
Diastolic_bp_corrected	3	0.223241	0.012206
Diastolic_bp_corrected	4	0.216501	0.012172
Diastolic_bp_corrected	5	0.201998	0.012122
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	1	0.225016	0.012682
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	2	0.238599	0.012738
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	3	0.21417	0.012711
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	4	0.244885	0.012705
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	5	0.253346	0.012821
