quant_name	age_idx1	age_idx2	rg_mean	rg_se
t2d_liability	1	2	0.9488	0.1265
t2d_liability	1	3	0.7959	0.1018
t2d_liability	1	4	0.9599	0.1168
t2d_liability	1	5	0.9093	0.1396
t2d_liability	2	3	0.7594	0.0895
t2d_liability	2	4	0.8401	0.0909
t2d_liability	2	5	0.9102	0.1169
t2d_liability	3	4	0.8784	0.1016
t2d_liability	3	5	0.8538	0.1083
t2d_liability	4	5	0.9598	0.1092
hyperchol_liability	1	2	1.0262	0.1113
hyperchol_liability	1	3	0.8808	0.0863
hyperchol_liability	1	4	0.8965	0.0932
hyperchol_liability	1	5	0.9977	0.1165
hyperchol_liability	2	3	1.0176	0.1138
hyperchol_liability	2	4	1.002	0.1142
hyperchol_liability	2	5	0.9902	0.1194
hyperchol_liability	3	4	0.9034	0.1035
hyperchol_liability	3	5	0.8913	0.1121
hyperchol_liability	4	5	1.0173	0.1224
hypertension_liability	1	2	0.9675	0.0634
hypertension_liability	1	3	0.9341	0.0558
hypertension_liability	1	4	0.9326	0.0621
hypertension_liability	1	5	0.7977	0.0594
hypertension_liability	2	3	1.0219	0.0707
hypertension_liability	2	4	1.0418	0.0713
hypertension_liability	2	5	0.8558	0.0669
hypertension_liability	3	4	1.0913	0.0685
hypertension_liability	3	5	0.984	0.0571
hypertension_liability	4	5	0.9236	0.0661
obesity_liability	1	2	1.0694	0.0574
obesity_liability	1	3	0.9125	0.0585
obesity_liability	1	4	0.946	0.0517
obesity_liability	1	5	0.9481	0.0624
obesity_liability	2	3	0.9716	0.0557
obesity_liability	2	4	0.9499	0.0534
obesity_liability	2	5	1.0227	0.062
obesity_liability	3	4	0.974	0.0555
obesity_liability	3	5	1.0268	0.0711
obesity_liability	4	5	0.9962	0.0619
CAD_liability	1	2	0.907	0.0945
CAD_liability	1	3	0.8379	0.0902
CAD_liability	1	4	0.8395	0.0956
CAD_liability	1	5	0.8558	0.1182
CAD_liability	2	3	0.8436	0.0945
CAD_liability	2	4	0.9019	0.1015
CAD_liability	2	5	0.9395	0.1138
CAD_liability	3	4	0.8488	0.0836
CAD_liability	3	5	0.8172	0.105
CAD_liability	4	5	0.9914	0.1096
COPD_liability	1	2	1.103	0.1028
COPD_liability	1	3	0.8935	0.089
COPD_liability	1	4	1.148	0.1128
COPD_liability	1	5	0.9948	0.098
COPD_liability	2	3	0.9518	0.0964
COPD_liability	2	4	1.0797	0.1051
COPD_liability	2	5	0.7896	0.0965
COPD_liability	3	4	0.8975	0.0997
COPD_liability	3	5	0.7854	0.0901
COPD_liability	4	5	0.9606	0.1183
asthma_liability	1	2	1.0331	0.0833
asthma_liability	1	3	0.9205	0.0845
asthma_liability	1	4	1.0567	0.1095
asthma_liability	1	5	0.8312	0.0863
asthma_liability	2	3	0.9517	0.0904
asthma_liability	2	4	1.1685	0.1087
asthma_liability	2	5	0.8679	0.0927
asthma_liability	3	4	1.0003	0.103
asthma_liability	3	5	1.0148	0.0906
asthma_liability	4	5	0.992	0.1179
anemia_liability	1	2	1.1195	0.1563
anemia_liability	1	3	1.1145	0.1747
anemia_liability	1	4	1.0079	0.1349
anemia_liability	1	5	1.1039	0.1704
anemia_liability	2	3	1.0215	0.12
anemia_liability	2	4	0.6938	0.0979
anemia_liability	2	5	0.9037	0.116
anemia_liability	3	4	0.8516	0.1204
anemia_liability	3	5	1.1235	0.146
anemia_liability	4	5	0.982	0.1186
highlipid_liability	1	2	1.0132	0.0917
highlipid_liability	1	3	0.8554	0.0742
highlipid_liability	1	4	0.8932	0.0744
highlipid_liability	1	5	0.9567	0.0968
highlipid_liability	2	3	0.979	0.0952
highlipid_liability	2	4	1.0344	0.0967
highlipid_liability	2	5	0.9512	0.0909
highlipid_liability	3	4	0.9146	0.0885
highlipid_liability	3	5	0.8836	0.0933
highlipid_liability	4	5	1.0093	0.0939
