quant_name	age_idx1	h2g_mean	h2g_se
t2d_liability	1	0.15327	0.010396
t2d_liability	2	0.144567	0.010268
t2d_liability	3	0.154684	0.01024
t2d_liability	4	0.148444	0.010257
t2d_liability	5	0.128409	0.010994
hyperchol_liability	1	0.241379	0.010673
hyperchol_liability	2	0.189045	0.010461
hyperchol_liability	3	0.191099	0.010355
hyperchol_liability	4	0.185346	0.010464
hyperchol_liability	5	0.145844	0.011077
hypertension_liability	1	0.276986	0.010664
hypertension_liability	2	0.257637	0.010623
hypertension_liability	3	0.254362	0.01049
hypertension_liability	4	0.240716	0.01054
hypertension_liability	5	0.195787	0.011142
obesity_liability	1	0.309672	0.010712
obesity_liability	2	0.295698	0.010664
obesity_liability	3	0.291491	0.01059
obesity_liability	4	0.278603	0.010573
obesity_liability	5	0.28523	0.01136
CAD_liability	1	0.188211	0.010501
CAD_liability	2	0.152105	0.010237
CAD_liability	3	0.188112	0.010353
CAD_liability	4	0.172798	0.010364
CAD_liability	5	0.165709	0.011091
COPD_liability	1	0.204052	0.01048
COPD_liability	2	0.168708	0.010296
COPD_liability	3	0.159885	0.010247
COPD_liability	4	0.138127	0.010135
COPD_liability	5	0.113234	0.01077
asthma_liability	1	0.205984	0.010487
asthma_liability	2	0.180669	0.010357
asthma_liability	3	0.186214	0.010275
asthma_liability	4	0.186848	0.010442
asthma_liability	5	0.120893	0.010824
anemia_liability	1	0.154841	0.010418
anemia_liability	2	0.139923	0.01029
anemia_liability	3	0.183871	0.010289
anemia_liability	4	0.157268	0.010219
anemia_liability	5	0.120085	0.010787
highlipid_liability	1	0.254256	0.010679
highlipid_liability	2	0.212681	0.010531
highlipid_liability	3	0.205672	0.010423
highlipid_liability	4	0.202113	0.010488
highlipid_liability	5	0.152458	0.011106
