quant_name	age_idx1	age_idx2	rg_mean	rg_se	rg_diff_1	rg_diff_1_zscore	rg_diff_p
bmi	1	2	0.9486	0.034	-0.0514	-1.51176470588235	0.0652968655303541
bmi	1	3	0.9601	0.0342	-0.0399	-1.16666666666667	0.121672504574381
bmi	1	4	0.949	0.0352	-0.0510000000000001	-1.44886363636364	0.0736878340088435
bmi	1	5	0.9627	0.035	-0.0373	-1.06571428571429	0.143276408915634
bmi	2	3	1.0086	0.0356	0.00859999999999994	0.241573033707864	0.595444490366355
bmi	2	4	1.0737	0.0342	0.0737000000000001	2.15497076023392	0.98441793880006
bmi	2	5	0.9044	0.0363	-0.0956	-2.633608815427	0.00422413799329555
bmi	3	4	1.0088	0.0382	0.00879999999999992	0.230366492146595	0.591096501812866
bmi	3	5	0.9557	0.0379	-0.0443	-1.1688654353562	0.12122892573106
bmi	4	5	1.018	0.0389	0.018	0.462724935732648	0.678219228857105
height	1	2	0.9433	0.0171	-0.0567	-3.31578947368421	0.000456923215208346
height	1	3	0.9713	0.0175	-0.0287	-1.64	0.050502583474104
height	1	4	0.9831	0.017	-0.0169	-0.994117647058825	0.160082797455054
height	1	5	0.9954	0.0162	-0.00460000000000005	-0.283950617283954	0.388224112618368
height	2	3	0.9823	0.0171	-0.0177000000000001	-1.03508771929825	0.150313973618181
height	2	4	0.9499	0.0167	-0.0501	-3	0.00134989803163008
height	2	5	0.9627	0.0169	-0.0373	-2.20710059171598	0.01365351623022
height	3	4	1.0155	0.0176	0.0155000000000001	0.880681818181822	0.810754969796843
height	3	5	0.9887	0.016	-0.0113	-0.706249999999999	0.240016340681267
height	4	5	1.0031	0.0165	0.0031000000000001	0.187878787878794	0.57451416428055
body_WHR	1	2	0.986	0.0485	-0.014	-0.288659793814433	0.386420866677101
body_WHR	1	3	1.0235	0.0504	0.0235000000000001	0.466269841269843	0.679488818404319
body_WHR	1	4	0.9676	0.0471	-0.0324	-0.687898089171974	0.245758479986524
body_WHR	1	5	0.9139	0.0507	-0.0861	-1.69822485207101	0.044732665857534
body_WHR	2	3	0.9937	0.0483	-0.00629999999999997	-0.130434782608695	0.448111224550223
body_WHR	2	4	0.99	0.0506	-0.01	-0.197628458498024	0.421667883634468
body_WHR	2	5	0.8708	0.05	-0.1292	-2.584	0.00488308971758443
body_WHR	3	4	1.0348	0.0489	0.0347999999999999	0.71165644171779	0.761661226570724
body_WHR	3	5	0.9541	0.0557	-0.0459000000000001	-0.824057450628367	0.204953457603311
body_WHR	4	5	0.9368	0.0514	-0.0632	-1.2295719844358	0.109428713195225
